Filename,ISO_639-3,Language,Family,Genus,Subgenus,Speakers,Script,Full,Parts,Year
Lithuanian.xml,lit,Lithuanian,Indo-European,Baltic,Eastern,"3,100,000",Latin,True,,1735
Lukpa-NT.xml,dop,Lukpa,Niger-Congo,Atlantic-Congo,Volta-Congo,"50,000",Latin,False,NT,2009
Malagasy.xml,plt,Malagasy,Austronesian,Malayo-Polynesian,Greater Barito,"7,520,000",Latin,True,,1835
Malayalam.xml,mal,Malayalam,Dravidian,Southern,Tamil-Kannada,"35,400,000",Malayalam,True,,1841
Mam-NT.xml,mam,Mam,Mayan,Quichean-Mamean,Greater Mamean,"200,000",Latin,False,NT,1993
Manx-PART.xml,glv,Manx,Indo-European,Celtic,Insular,"77,000",Latin,False,Parts,1773
Maori.xml,mri,Maori,Austronesian,Malayo-Polynesian,Central-Eastern,"60,000",Latin,True,,1858
Marathi.xml,mar,Marathi,Indo-European,Indo-Iranian,Indo-Aryan,"68,000,000",Devanagari,True,,1821
Myanmar.xml,mya,Myanmar (Burmese),Sino-Tibetan,Tibeto-Burman,Lolo-Burmese,"32,300,000",Myanmar,True,,1835
Nahuatl-NT.xml,nhg,Nahuatl (Tetelcingo),Uto-Aztecan,Southern Uto-Aztecan,Aztecan,"3,500",Latin,False,NT,1980
Nepali.xml,nep,Nepali,Indo-European,Indo-Iranian,Indo-Aryan,"11,100,000",Devanagari,True,,1914
Norwegian.xml,nor,Norwegian,Indo-European,Germanic,North,"4,600,000",Latin,True,,1904
Ojibwa-NT.xml,ojb,Ojibwa,Algic,Algonquian,Central,"20,000",Aboriginal Syllabics,False,NT,1988
Paite.xml,pck,Paite (Chin),Sino-Tibetan,Tibeto-Burman,Kuki-Chin-Naga,"78,800",Latin,True,,1971
Polish.xml,pol,Polish,Indo-European,Slavic,West,"36,600,000",Latin,True,,1975
Portuguese.xml,por,Portuguese,Indo-European,Italic,Romance,"178,000,000",Latin,True,,1751
Potawatomi-PART.xml,pot,Potawatomi,Algic,Algonquian,Central,"1,300,000",Latin,False,Parts,1844
Q'eqchi'.xml,kek,Q’eqchi’,Mayan,Quichean-Mamean,Greater Quichean,"400,000",Latin,True,,1988
Quichua-NT.xml,quw,Quichua,Quechuan,Quechua II,B,"20,000",Latin,False,NT,1972
Romani-NT.xml,rmn,Romani,Indo-European,Sna,Indo-Aryan,"710,000",Latin,False,NT,2008
Romanian.xml,ron,Romanian,Indo-European,Italic,Romance,"23,400,000",Latin,True,,1928
Russian.xml,rus,Russian,Indo-European,Slavic,East,"143,000,000",Cyrillic,True,,1876
Serbian.xml,srp,Serbian,Indo-European,Slavic,South,"7,000,000",Latin,True,,1804
Shona.xml,sna,Shona,Niger-Congo,Bantu,Southern Bantu,"6,500,000",Latin,,,
Shuar-NT.xml,jiv,Shuar (Jivaro),Jivaroan,,,"46,700",Latin,False,NT,2010
Slovak.xml,slk,Slovak,Indo-European,Slavic,West,"4,610,000",Latin,True,,1832
Slovene.xml,slv,Slovene,Indo-European,Slavic,South,"1,730,000",Latin,True,,1584
Somali.xml,som,Somali,Afro-Asiatic,Cushitic,East,"8,340,000",Latin,True,,1979
Spanish.xml,spa,Spanish,Indo-European,Italic,Romance,"328,000,000",Latin,True,,1569
Swahili-NT.xml,swh,Swahili,Niger-Congo,Atlantic-Congo,Volta-Congo,"788,000",Latin,False,NT,1891
Swedish.xml,swe,Swedish,Indo-European,Germanic,North,"8,300,000",Latin,True,,1917
Syriac-NT.xml,arc,Syriac,Afro-Asiatic,Semitic,Central,Extinct,Syriac,False,NT,464
Tachelhit-NT.xml,shi,Tachelhit,Afro-Asiatic,Berber,Northern,"3,000,000",Arabic,False,NT,2010
Tagalog.xml,tgl,Tagalog,Austronesian,Malayo-Polynesian,Phillipine,"23,900,000",Latin,True,,1905
Telugu.xml,tel,Telugu,Dravidian,South-Central,Telugu,"69,600,000",Telugu,True,,1854
Thai-tok.xml,tha,Thai,Tai-Kadai,Kam-Tai,Be-Tai,"20,300,000",Thai,True,,1883
Thai.xml,tha,Thai,Tai-Kadai,Kam-Tai,Be-Tai,"20,300,000",Thai,True,,1883
Tuareg-PART.xml,ttq,Tamajaq (Tuareg),Afro-Asiatic,Berber,Tamasheq,"640,000",Latin,False,Parts,1979
Turkish.xml,tur,Turkish,Altaic,Turkic,Southern,"50,000,000",Latin,True,,1827
Ukranian-NT.xml,ukr,Ukranian,Indo-European,Slavic,East,"37,000,000",Cyrillic,False,NT,1903
Uma-NT.xml,ppk,Uma,Austronesian,Malayo-Polynesian,Celebic,"20,000",Latin,False,NT,1996
Uspanteco-NT.xml,usp,Uspanteco,Mayan,Quichean-Mamean,Greater Quichean,"3,000",Latin,False,NT,1999
Vietnamese-tok.xml,vie,Vietnamese,Austro-Asiatic,Mon-Khmer,Viet-Muong,"68,600,000",Latin,True,,1934
Vietnamese.xml,vie,Vietnamese,Austro-Asiatic,Mon-Khmer,Viet-Muong,"68,600,000",Latin,True,,1934
Wolaytta-NT.xml,wal,Wolaytta,Afro-Asiatic,Omotic,North,"1,230,000",Ethiopic,False,NT,1981
Wolof-NT.xml,wol,Wolof,Niger-Congo,Atlantic-Congo,Atlantic,"4,000,000",Latin,False,NT,1988
Xhosa.xml,xho,Xhosa,Niger-Congo,Atlantic-Congo,Volta-Congo,"7,800,000",Latin,True,,1859
Zarma.xml,dje,Zarma,Nilo-Saharan,Songhai,Southern,"2,350,000",Latin,True,,1990
Zulu-NT.xml,zul,Zulu,Niger-Congo,Atlantic-Congo,Volta-Congo,"9,980,000",Latin,False,NT,1883
